,batch,base,base_output_dir,minimised,error
65,batch10,YXOSKKANWJIJOY-UHFFFAOYSA-N,YXOSKKANWJIJOY-UHFFFAOYSA-N-39MVPz-base-A,False,
66,batch10,ZSOZJLJKIBSDKD-UHFFFAOYSA-N,ZSOZJLJKIBSDKD-UHFFFAOYSA-N-8WuDRZ-base-A,False,
67,batch10,KSFNSNPCFGKGTN-UHFFFAOYSA-N,KSFNSNPCFGKGTN-UHFFFAOYSA-N-3U7sp2-base-A,False,
68,batch10,LXCOIZPPHPZJLW-UHFFFAOYSA-N,LXCOIZPPHPZJLW-UHFFFAOYSA-N-3MzBNA-base-A,False,
69,batch10,CUHAEOJAXNJLLL-UHFFFAOYSA-N,CUHAEOJAXNJLLL-UHFFFAOYSA-N-4DsF7e-base-A,True,
70,batch10,LCSKLVVSOFHOOO-UHFFFAOYSA-N,LCSKLVVSOFHOOO-UHFFFAOYSA-N-3STmJC-base-A,True,
71,batch10,YMFXTZASBGMLKF-UHFFFAOYSA-N,YMFXTZASBGMLKF-UHFFFAOYSA-N-touSdo-base-A,False,
72,batch11,BAOZEGOGVWZOIX-UHFFFAOYSA-N,BAOZEGOGVWZOIX-UHFFFAOYSA-N-4iRAsh-base-A,False,
73,batch11,NXZSZVCYCCPQSP-UHFFFAOYSA-N,NXZSZVCYCCPQSP-UHFFFAOYSA-N-4T4Ccg-base-A,False,
74,batch11,RWYKVNCVGBRENI-UHFFFAOYSA-N,RWYKVNCVGBRENI-UHFFFAOYSA-N-iVdr6M-base-A,False,
75,batch11,ZFGIZJRJYCRRHS-UHFFFAOYSA-N,ZFGIZJRJYCRRHS-UHFFFAOYSA-N-Z5ZfP5-base-A,True,
76,batch11,BTUBGYUTZVMOQE-UHFFFAOYSA-N,BTUBGYUTZVMOQE-UHFFFAOYSA-N-oHF3cQ-base-A,True,
77,batch11,CYSUOTMKUDBMFZ-UHFFFAOYSA-N,CYSUOTMKUDBMFZ-UHFFFAOYSA-N-44TPNF-base-A,True,
78,batch11,LTURCBNOKGSFTI-UHFFFAOYSA-N,LTURCBNOKGSFTI-UHFFFAOYSA-N-4ASsss-base-A,True,
79,batch11,MFVVKWWGPFFRCH-UHFFFAOYSA-N,MFVVKWWGPFFRCH-UHFFFAOYSA-N-3FWdsL-base-A,True,
80,batch11,HWHRLRWYYRBVIM-UHFFFAOYSA-N,HWHRLRWYYRBVIM-UHFFFAOYSA-N-rkYuYV-base-A,False,
81,batch12,ALCJNIPCFITZHL-UHFFFAOYSA-N,ALCJNIPCFITZHL-UHFFFAOYSA-N-GCGe8S-base-A,True,
82,batch12,VQRSSBXPBMCVSS-UHFFFAOYSA-N,VQRSSBXPBMCVSS-UHFFFAOYSA-N-a3e5RU-base-A,True,
83,batch12,PQHLNDLJASDWNV-UHFFFAOYSA-N,PQHLNDLJASDWNV-UHFFFAOYSA-N-432UnN-base-A,True,
84,batch12,PQHLNDLJASDWNV-UHFFFAOYSA-N,PQHLNDLJASDWNV-UHFFFAOYSA-N-432UnN-base-B,True,
85,batch12,TUOVBPCFRQFYGO-UHFFFAOYSA-N,TUOVBPCFRQFYGO-UHFFFAOYSA-N-EFEhhD-base-A,True,
86,batch12,TUOVBPCFRQFYGO-UHFFFAOYSA-N,TUOVBPCFRQFYGO-UHFFFAOYSA-N-EFEhhD-base-B,True,
87,batch13,SRDGULMUCFCNKM-UHFFFAOYSA-N,SRDGULMUCFCNKM-UHFFFAOYSA-N-4NdXMd-base-A,True,
88,batch13,SRDGULMUCFCNKM-UHFFFAOYSA-N,SRDGULMUCFCNKM-UHFFFAOYSA-N-4NdXMd-base-B,True,
89,batch13,JOQRKFCIIQYZLX-UHFFFAOYSA-N,JOQRKFCIIQYZLX-UHFFFAOYSA-N-3mjXqv-base-A,True,
90,batch13,JOQRKFCIIQYZLX-UHFFFAOYSA-N,JOQRKFCIIQYZLX-UHFFFAOYSA-N-3mjXqv-base-B,True,
91,batch13,PYNBBVRZWAORJG-UHFFFAOYSA-N,PYNBBVRZWAORJG-UHFFFAOYSA-N-fT3Po8-base-A,True,
92,batch13,PYNBBVRZWAORJG-UHFFFAOYSA-N,PYNBBVRZWAORJG-UHFFFAOYSA-N-fT3Po8-base-B,True,
