,smiles,reactants,reaction_names,num_steps,hits,compound_set
14,Cc1ccc(NC(=O)CO)cc1NC(=O)CC#N,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1C', 'O=C(O)CO'), 'Cc1ccc(NC(=O)CO)cc1NC(=O)OC(C)(C)C', ('Cc1ccc(NC(=O)CO)cc1N', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0310', 'x0732']",x0310-x0732-merge-2-5
15,N#CCC(=O)Nc1cc(NC(=O)CO)ccc1F,"[('CC(C)(C)OC(=O)Nc1cc(N)ccc1F', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1cc(NC(=O)CO)ccc1F', ('Nc1cc(NC(=O)CO)ccc1F', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0310', 'x0732']",x0310-x0732-merge-2-6
16,Cc1cc(NC(=O)CO)cc(NC(=O)CC#N)c1,"[('CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1', 'O=C(O)CO'), 'Cc1cc(NC(=O)CO)cc(NC(=O)OC(C)(C)C)c1', ('Cc1cc(N)cc(NC(=O)CO)c1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0310', 'x0732']",x0310-x0732-merge-2-7
17,Cc1cc(NC(=O)CO)cc(NC(=O)CC#N)c1,"[('CC(C)(C)OC(=O)Nc1cc(N)cc(C)c1', 'O=C(O)CO'), 'Cc1cc(NC(=O)CO)cc(NC(=O)OC(C)(C)C)c1', ('Cc1cc(N)cc(NC(=O)CO)c1', 'N#CCC(=O)O')]","['Amidation', 'N-Boc_deprotection', 'Amidation']",3,"['x0310', 'x0732']",x0310-x0732-merge-2-8
18,Cc1cc(NC(=O)CC#N)cc(OCC(=O)N2CCOCC2)c1,"[('Cc1cc(O)cc(N)c1', 'N#CCC(=O)O'), ('Cc1cc(O)cc(NC(=O)CC#N)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0310', 'x0739']",x0310-x0739-merge-2-1
19,Cc1cnc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,"[('Cc1cnc(O)cc1N', 'N#CCC(=O)O'), ('Cc1cnc(O)cc1NC(=O)CC#N', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0310', 'x0739']",x0310-x0739-merge-2-2
20,Cc1cc(NC(=O)CC#N)cc(OCC(=O)N2CCOCC2)c1,"[('Cc1cc(O)cc(N)c1', 'N#CCC(=O)O'), ('Cc1cc(O)cc(NC(=O)CC#N)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0310', 'x0739']",x0310-x0739-merge-2-3
21,N#CCC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,"[('Nc1cccc(O)c1', 'N#CCC(=O)O'), ('N#CCC(=O)Nc1cccc(O)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0310', 'x0739']",x0310-x0739-merge-2-4
22,Cc1ccc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,"[('Cc1ccc(O)cc1N', 'N#CCC(=O)O'), ('Cc1ccc(O)cc1NC(=O)CC#N', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0310', 'x0739']",x0310-x0739-merge-2-5
23,Cc1ccc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,"[('Cc1ccc(O)cc1N', 'N#CCC(=O)O'), ('Cc1ccc(O)cc1NC(=O)CC#N', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0310', 'x0739']",x0310-x0739-merge-2-6
24,N#CCC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,"[('Fc1ccc(O)cc1N', 'N#CCC(=O)O'), ('N#CCC(=O)Nc1cc(O)ccc1F', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0310', 'x0739']",x0310-x0739-merge-2-7
25,Cc1ccc(NC(=O)CC#N)cc1OCC(=O)N1CCOCC1,"[('Nc1cc(O)c(C)cc1', 'N#CCC(=O)O'), ('Cc1ccc(NC(=O)CC#N)cc1O', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0310', 'x0739']",x0310-x0739-merge-2-8
26,Cc1cc(C)c(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,"[('Nc1cc(O)c(C)cc1C', 'N#CCC(=O)O'), ('Cc1cc(C)c(NC(=O)CC#N)cc1O', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0310', 'x0739']",x0310-x0739-merge-2-9
27,N#CCC(=O)Nc1cncc(OCC(=O)N2CCOCC2)c1,"[('Nc1cncc(O)c1', 'N#CCC(=O)O'), ('N#CCC(=O)Nc1cncc(O)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0310', 'x0739']",x0310-x0739-merge-2-10
28,N#CCC(=O)Nc1ccnc(OCC(=O)N2CCOCC2)c1,"[('Nc1ccnc(O)c1', 'N#CCC(=O)O'), ('N#CCC(=O)Nc1ccnc(O)c1', 'O=C(CCl)N1CCOCC1')]","['Amidation', 'Williamson_ether_synthesis']",2,"['x0310', 'x0739']",x0310-x0739-merge-2-11
29,CN(C)C(=O)c1ccc(F)cc1OC1CCN(C)C1=O,"[('O=C(c1ccc(F)cc1Cl)N(C)C', 'O=C1C(O)CCN1C')]",['Nucleophilic_substitution'],1,"['x0528', 'x0450']",x0528-x0450-merge-1-1
30,CN(C)C(=O)c1ccccc1OC1CCN(C)C1=O,"[('CN(C)C(=O)c1ccccc1Cl', 'O=C1C(O)CCN1C')]",['Nucleophilic_substitution'],1,"['x0528', 'x0450']",x0528-x0450-merge-1-2
31,CN1CCC(Oc2ccccc2OCC(=O)N2CCOCC2)C1=O,"[('C[Si](C)(Oc1ccccc1O)C(C)(C)C', 'O=C1C(Cl)CCN1C'), 'CN1CCC(Oc2ccccc2O[Si](C)(C)C(C)(C)C)C1=O', ('CN1CCC(Oc2ccccc2O)C1=O', 'O=C(CCl)N1CCOCC1')]","['Williamson_ether_synthesis', 'TBS_alcohol_deprotection', 'Williamson_ether_synthesis']",3,"['x0528', 'x0739']",x0528-x0739-merge-1-1
32,Cc1cccc(OC2CCN(C)C2=O)c1OCC(=O)N1CCOCC1,"[('Cc1cccc(O)c1OCc1ccccc1', 'O=C1C(Cl)CCN1C'), 'Cc1cccc(OC2CCN(C)C2=O)c1OCc1ccccc1', ('Cc1cccc(OC2CCN(C)C2=O)c1O', 'O=C(CCl)N1CCOCC1')]","['Williamson_ether_synthesis', 'Benzyl_alcohol_deprotection', 'Williamson_ether_synthesis']",3,"['x0528', 'x0739']",x0528-x0739-merge-1-2
33,Cc1cc(C)c(OCC(=O)N2CCOCC2)c(OC2CCN(C)C2=O)c1,"[('Cc1cc(O)c(OCc2ccccc2)c(C)c1', 'O=C1C(Cl)CCN1C'), 'Cc1cc(C)c(OCc2ccccc2)c(OC2CCN(C)C2=O)c1', ('Cc1cc(C)c(O)c(OC2CCN(C)C2=O)c1', 'O=C(CCl)N1CCOCC1')]","['Williamson_ether_synthesis', 'Benzyl_alcohol_deprotection', 'Williamson_ether_synthesis']",3,"['x0528', 'x0739']",x0528-x0739-merge-1-3
