,1_reaction,1_r1_smiles,1_r2_smiles,1_r_previous_product,1_product_smiles,2_reaction,2_r1_smiles,2_r2_smiles,2_r_previous_product,2_product_smiles,3_reaction,3_r1_smiles,3_r2_smiles,3_r_previous_product,3_product_smiles,4_reaction,4_r1_smiles,4_r2_smiles,4_r_previous_product,4_product_smiles,base_compound_smiles,num_steps,compound_set,batch,hits,name,base_compound_smiles,num_steps,compound_set,batch,hits,name
10,Amidation,Nc1cc(NC(=O)OC(C)(C)C)ccn1,O=C(O)CO,,CC(C)(C)OC(=O)Nc1ccnc(NC(=O)CO)c1,N-Boc_deprotection,CC(C)(C)OC(=O)Nc1ccnc(NC(=O)CO)c1,,1.0,Nc1ccnc(NC(=O)CO)c1,Amidation,Nc1ccnc(NC(=O)CO)c1,N#CCC(=O)O,1.0,N#CCC(=O)Nc1ccnc(NC(=O)CO)c1,,,,,,N#CCC(=O)Nc1ccnc(NC(=O)CO)c1,3,x0310-x0732-merge-2-3,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,ODONBPGOOMWOPQ-UHFFFAOYSA-N,N#CCC(=O)Nc1ccnc(NC(=O)CO)c1,3,x0310-x0732-merge-2-3,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,ODONBPGOOMWOPQ-UHFFFAOYSA-N
11,Amidation,CC(C)(C)OC(=O)Nc1cc(N)ccc1C,O=C(O)CO,,Cc1ccc(NC(=O)CO)cc1NC(=O)OC(C)(C)C,N-Boc_deprotection,Cc1ccc(NC(=O)CO)cc1NC(=O)OC(C)(C)C,,1.0,Cc1ccc(NC(=O)CO)cc1N,Amidation,Cc1ccc(NC(=O)CO)cc1N,N#CCC(=O)O,1.0,Cc1ccc(NC(=O)CO)cc1NC(=O)CC#N,,,,,,Cc1ccc(NC(=O)CO)cc1NC(=O)CC#N,3,x0310-x0732-merge-2-4,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,TYJSTJNCXZDPLY-UHFFFAOYSA-N,Cc1ccc(NC(=O)CO)cc1NC(=O)CC#N,3,x0310-x0732-merge-2-4,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,TYJSTJNCXZDPLY-UHFFFAOYSA-N
12,Amidation,CC(C)(C)OC(=O)Nc1cc(N)ccc1F,O=C(O)CO,,CC(C)(C)OC(=O)Nc1cc(NC(=O)CO)ccc1F,N-Boc_deprotection,CC(C)(C)OC(=O)Nc1cc(NC(=O)CO)ccc1F,,1.0,Nc1cc(NC(=O)CO)ccc1F,Amidation,Nc1cc(NC(=O)CO)ccc1F,N#CCC(=O)O,1.0,N#CCC(=O)Nc1cc(NC(=O)CO)ccc1F,,,,,,N#CCC(=O)Nc1cc(NC(=O)CO)ccc1F,3,x0310-x0732-merge-2-6,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,JVLRHPWRWSSGDH-UHFFFAOYSA-N,N#CCC(=O)Nc1cc(NC(=O)CO)ccc1F,3,x0310-x0732-merge-2-6,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,JVLRHPWRWSSGDH-UHFFFAOYSA-N
13,Amidation,CC(C)(C)OC(=O)Nc1cc(C)cc(N)c1,O=C(O)CO,,Cc1cc(NC(=O)CO)cc(NC(=O)OC(C)(C)C)c1,N-Boc_deprotection,Cc1cc(NC(=O)CO)cc(NC(=O)OC(C)(C)C)c1,,1.0,Cc1cc(N)cc(NC(=O)CO)c1,Amidation,Cc1cc(N)cc(NC(=O)CO)c1,N#CCC(=O)O,1.0,Cc1cc(NC(=O)CO)cc(NC(=O)CC#N)c1,,,,,,Cc1cc(NC(=O)CO)cc(NC(=O)CC#N)c1,3,x0310-x0732-merge-2-7,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,MBMRUNGQBMGNOP-UHFFFAOYSA-N,Cc1cc(NC(=O)CO)cc(NC(=O)CC#N)c1,3,x0310-x0732-merge-2-7,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1,MBMRUNGQBMGNOP-UHFFFAOYSA-N
14,Amidation,Cc1cc(O)cc(N)c1,N#CCC(=O)O,,Cc1cc(O)cc(NC(=O)CC#N)c1,Williamson_ether_synthesis,Cc1cc(O)cc(NC(=O)CC#N)c1,O=C(CCl)N1CCOCC1,1.0,Cc1cc(NC(=O)CC#N)cc(OCC(=O)N2CCOCC2)c1,,,,,,,,,,,Cc1cc(NC(=O)CC#N)cc(OCC(=O)N2CCOCC2)c1,2,x0310-x0739-merge-2-1,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,FQGGXMVTNBDGEE-UHFFFAOYSA-N,Cc1cc(NC(=O)CC#N)cc(OCC(=O)N2CCOCC2)c1,2,x0310-x0739-merge-2-1,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,FQGGXMVTNBDGEE-UHFFFAOYSA-N
15,Amidation,Cc1cnc(O)cc1N,N#CCC(=O)O,,Cc1cnc(O)cc1NC(=O)CC#N,Williamson_ether_synthesis,Cc1cnc(O)cc1NC(=O)CC#N,O=C(CCl)N1CCOCC1,1.0,Cc1cnc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,,,,,,,,,,,Cc1cnc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,2,x0310-x0739-merge-2-2,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,WCNAXNCVZXMWKF-UHFFFAOYSA-N,Cc1cnc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,2,x0310-x0739-merge-2-2,1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,WCNAXNCVZXMWKF-UHFFFAOYSA-N
16,Amidation,Nc1cccc(O)c1,N#CCC(=O)O,,N#CCC(=O)Nc1cccc(O)c1,Williamson_ether_synthesis,N#CCC(=O)Nc1cccc(O)c1,O=C(CCl)N1CCOCC1,1.0,N#CCC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,,,,,,,,,,,N#CCC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,2,x0310-x0739-merge-2-4,2,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,CLVVEVVTKNLLLU-UHFFFAOYSA-N,N#CCC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,2,x0310-x0739-merge-2-4,2,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,CLVVEVVTKNLLLU-UHFFFAOYSA-N
17,Amidation,Cc1ccc(O)cc1N,N#CCC(=O)O,,Cc1ccc(O)cc1NC(=O)CC#N,Williamson_ether_synthesis,Cc1ccc(O)cc1NC(=O)CC#N,O=C(CCl)N1CCOCC1,1.0,Cc1ccc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,,,,,,,,,,,Cc1ccc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,2,x0310-x0739-merge-2-5,2,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,ZEEZCEGNYUPWRG-UHFFFAOYSA-N,Cc1ccc(OCC(=O)N2CCOCC2)cc1NC(=O)CC#N,2,x0310-x0739-merge-2-5,2,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,ZEEZCEGNYUPWRG-UHFFFAOYSA-N
18,Amidation,Fc1ccc(O)cc1N,N#CCC(=O)O,,N#CCC(=O)Nc1cc(O)ccc1F,Williamson_ether_synthesis,N#CCC(=O)Nc1cc(O)ccc1F,O=C(CCl)N1CCOCC1,1.0,N#CCC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,,,,,,,,,,,N#CCC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,2,x0310-x0739-merge-2-7,2,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,SXKJOQUQPNBOSA-UHFFFAOYSA-N,N#CCC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,2,x0310-x0739-merge-2-7,2,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,SXKJOQUQPNBOSA-UHFFFAOYSA-N
19,Amidation,Nc1cc(O)c(C)cc1,N#CCC(=O)O,,Cc1ccc(NC(=O)CC#N)cc1O,Williamson_ether_synthesis,Cc1ccc(NC(=O)CC#N)cc1O,O=C(CCl)N1CCOCC1,1.0,Cc1ccc(NC(=O)CC#N)cc1OCC(=O)N1CCOCC1,,,,,,,,,,,Cc1ccc(NC(=O)CC#N)cc1OCC(=O)N1CCOCC1,2,x0310-x0739-merge-2-8,2,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,KYUARQFQJUCNFW-UHFFFAOYSA-N,Cc1ccc(NC(=O)CC#N)cc1OCC(=O)N1CCOCC1,2,x0310-x0739-merge-2-8,2,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1,KYUARQFQJUCNFW-UHFFFAOYSA-N
