Code,Long code,Compound code,Smiles,Downloaded,ConformerSites,CanonSites,CrystalformSites,Quatassemblies,Crystalforms
Ax0229b,A71EV2A-x0229_A_201_A71EV2A-x0541+A+147+1,Z426041412,CS(=O)(=O)Nc1ccc(CN)cc1,True,11a - A71EV2A-x0541,11 - A147,F1p - A71_2A_open - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0237a,A71EV2A-x0237_A_151_A71EV2A-x0501+A+152+1,Z437516460,Cc1ccc(CNC(=O)C2CCC2)cn1,True,9a - A71EV2A-x0501,9 - A152,F3l - A71_2A_open_long_cell - A71EV2A-x0501/A/151/1,A1 - monomer,F3 - A71_2A_open_long_cell
Ax0239a,A71EV2A-x0239_A_147_A71EV2A-x0486+A+147+1,Z438067480,CCC(=O)NCc1nnc2n1CCCC2,True,7a - A71EV2A-x0486,7 - A147,F1i - A71_2A_open - A71EV2A-x0486/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0332a,A71EV2A-x0332_A_147_A71EV2A-x0541+A+147+1,Z45527714,CNS(=O)(=O)c1ccccc1Cl,True,11a - A71EV2A-x0541,11 - A147,F1p - A71_2A_open - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0333a,A71EV2A-x0333_A_201_A71EV2A-x0528+A+201+1,Z45617795,CS(=O)(=O)NCCc1ccccc1,True,10a - A71EV2A-x0528,10 - A201,F2o - A71_2A_open_small_cell - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0341a,A71EV2A-x0341_A_147_A71EV2A-x0395+A+148+1,Z50145861,CC1=NN(c2ccccc2)C(=O)C1,True,2a - A71EV2A-x0395,2 - A148,F1a - A71_2A_open - A71EV2A-x0269/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0351a,A71EV2A-x0351_A_301_A71EV2A-x0501+A+152+1,Z53860899,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,True,9a - A71EV2A-x0501,9 - A152,F2f - A71_2A_open_small_cell - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0351b,A71EV2A-x0351_A_302_A71EV2A-x0528+A+201+1,Z53860899,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,True,10a - A71EV2A-x0528,10 - A201,F2o - A71_2A_open_small_cell - A71EV2A-x0528/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0351c,A71EV2A-x0351_A_201_A71EV2A-x0432+A+147+1,Z53860899,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,True,5a - A71EV2A-x0432,5 - A147,F2b - A71_2A_open_small_cell - A71EV2A-x0351/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0354a,A71EV2A-x0354_A_147_A71EV2A-x0541+A+147+1,Z54615640,C[C@]1(NC(=O)C2CC2)CCS(=O)(=O)C1,True,11a - A71EV2A-x0541,11 - A147,F1p - A71_2A_open - A71EV2A-x0541/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0359a,A71EV2A-x0359_A_147_A71EV2A-x0469+A+147+1,Z54750053,CN(C)Cc1ccc(C#N)cc1,True,6a - A71EV2A-x0359,6 - A147,F1h - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax0365a,A71EV2A-x0365_A_201_A71EV2A-x0501+A+152+1,Z558511008,Cn1ccc(NCc2ccccc2)n1,True,9a - A71EV2A-x0501,9 - A152,F2f - A71_2A_open_small_cell - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0375a,A71EV2A-x0375_A_201_A71EV2A-x0501+A+152+1,Z56921372,COc1ccccc1NC(N)=S,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
