Code,Long code,Compound code,Smiles,Downloaded,ConformerSites,CanonSites,CrystalformSites,Quatassemblies,Crystalforms
Ax0875a,A71EV2A-x0875_A_201_A71EV2A-x0501+A+152+1,Z53825020,CCS(=O)(=O)N1CCC(C(=O)O)CC1,True,9a - A71EV2A-x0501,9 - A152,F2f - A71_2A_open_small_cell - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0875b,A71EV2A-x0875_A_147_A71EV2A-x0395+A+148+1,Z53825020,CCS(=O)(=O)N1CCC(C(=O)O)CC1,True,2a - A71EV2A-x0395,2 - A148,F2k - A71_2A_open_small_cell - A71EV2A-x0497/A/147/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0884a,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1,Z198195770,CC(=O)Nc1cccc(NC(N)=O)c1,True,9a - A71EV2A-x0501,9 - A152,F2f - A71_2A_open_small_cell - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0900a,A71EV2A-x0900_A_147_A71EV2A-x0900+A+147+1,Z760031264,Nc1ccc(-c2ncno2)cc1,True,14a - A71EV2A-x0900,14 - A147,F2s - A71_2A_open_small_cell - A71EV2A-x0900/A/147/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax0922a,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1,Z19733482,Cc1ccccc1OCC(=O)N(C)C,True,9a - A71EV2A-x0501,9 - A152,F1g - A71_2A_open - A71EV2A-x0451/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax1019a,A71EV2A-x1019_A_147_A71EV2A-x0501+A+152+1,NCL-00024665,COc1cc(Br)ccc1CC(=O)O,True,9a - A71EV2A-x0501,9 - A152,F2f - A71_2A_open_small_cell - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax1068a,A71EV2A-x1068_A_201_A71EV2A-x1068+A+201+1,Z1741968196,Nc1ncccn1,True,16a - A71EV2A-x1068,16 - A201,F1u - A71_2A_open - A71EV2A-x1068/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax1068b,A71EV2A-x1068_A_147_A71EV2A-x1068+A+147+1,Z1741968196,Nc1ncccn1,True,15a - A71EV2A-x1068,15 - A147,F1t - A71_2A_open - A71EV2A-x1068/A/147/1,A1 - monomer,F1 - A71_2A_open
Ax1080a,A71EV2A-x1080_A_201_A71EV2A-x0501+A+152+1,Z59181971,CCC(=O)NO,True,9a - A71EV2A-x0501,9 - A152,F2f - A71_2A_open_small_cell - A71EV2A-x0450/A/201/1,A1 - monomer,F2 - A71_2A_open_small_cell
Ax1081a,A71EV2A-x1081_A_201_A71EV2A-x1068+A+201+1,Z1741976468,O=C1NCCN1,True,16a - A71EV2A-x1068,16 - A201,F1u - A71_2A_open - A71EV2A-x1068/A/201/1,A1 - monomer,F1 - A71_2A_open
Ax1081b,A71EV2A-x1081_A_147_A71EV2A-x0488+A+147+1,Z1741976468,O=C1NCCN1,True,8c - A71EV2A-x1081,8 - A147,F1j - A71_2A_open - A71EV2A-x0488/A/147/1,A1 - monomer,F1 - A71_2A_open
