,1_reaction,1_r1_smiles,1_r2_smiles,1_r_previous_product,1_product_smiles,2_reaction,2_r1_smiles,2_r2_smiles,2_r_previous_product,2_product_smiles,3_reaction,3_r1_smiles,3_r2_smiles,3_r_previous_product,3_product_smiles,4_reaction,4_r1_smiles,4_r2_smiles,4_r_previous_product,4_product_smiles,base_compound_smiles,name,frag_small,num_steps,compound_set,hits
31,Amidation,Nc1ccnc(O)c1,CC(=O)O,,CC(=O)Nc1ccnc(O)c1,Williamson_ether_synthesis,CC(=O)Nc1ccnc(O)c1,O=C(CCl)N1CCOCC1,1,CC(=O)Nc1ccnc(OCC(=O)N2CCOCC2)c1,,,,,,,,,,,CC(=O)Nc1ccnc(OCC(=O)N2CCOCC2)c1,BRSYMCNEXAIIKP-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']",2,x0884-x0739-merge-3-11,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
32,Amidation,Cc1cc(O)cc(N)c1,O=C(O)C1CCCO1,,Cc1cc(O)cc(NC(=O)C2CCCO2)c1,Williamson_ether_synthesis,Cc1cc(O)cc(NC(=O)C2CCCO2)c1,O=C1C(Cl)CCN1C,1,Cc1cc(NC(=O)C2CCCO2)cc(OC2CCN(C)C2=O)c1,,,,,,,,,,,Cc1cc(NC(=O)C2CCCO2)cc(OC2CCN(C)C2=O)c1,APPQVEGAZDMLRK-UHFFFAOYSA-N,"['Ax0528a', 'Ax0416a']",2,x0528-x0416-merge-1-1,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
33,Amidation,Nc1cccc(O)c1,O=C(O)C1CCCO1,,O=C(Nc1cccc(O)c1)C1CCCO1,Williamson_ether_synthesis,O=C(Nc1cccc(O)c1)C1CCCO1,O=C1C(Cl)CCN1C,1,CN1CCC(Oc2cccc(NC(=O)C3CCCO3)c2)C1=O,,,,,,,,,,,CN1CCC(Oc2cccc(NC(=O)C3CCCO3)c2)C1=O,VDXZGYJNKRBGHE-UHFFFAOYSA-N,"['Ax0528a', 'Ax0416a']",2,x0528-x0416-merge-1-4,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
34,Amidation,Cc1ccc(O)cc1N,O=C(O)C1CCCO1,,Cc1ccc(O)cc1NC(=O)C1CCCO1,Williamson_ether_synthesis,Cc1ccc(O)cc1NC(=O)C1CCCO1,O=C1C(Cl)CCN1C,1,Cc1ccc(OC2CCN(C)C2=O)cc1NC(=O)C1CCCO1,,,,,,,,,,,Cc1ccc(OC2CCN(C)C2=O)cc1NC(=O)C1CCCO1,GVPFTUOBLWBNJI-UHFFFAOYSA-N,"['Ax0528a', 'Ax0416a']",2,x0528-x0416-merge-1-5,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
35,Amidation,Fc1ccc(O)cc1N,O=C(O)C1CCCO1,,O=C(Nc1cc(O)ccc1F)C1CCCO1,Williamson_ether_synthesis,O=C(Nc1cc(O)ccc1F)C1CCCO1,O=C1C(Cl)CCN1C,1,CN1CCC(Oc2ccc(F)c(NC(=O)C3CCCO3)c2)C1=O,,,,,,,,,,,CN1CCC(Oc2ccc(F)c(NC(=O)C3CCCO3)c2)C1=O,FBNVFPGRCAQPCT-UHFFFAOYSA-N,"['Ax0528a', 'Ax0416a']",2,x0528-x0416-merge-1-7,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
36,Amidation,Nc1cc(O)c(C)cc1,O=C(O)C1CCCO1,,Cc1ccc(NC(=O)C2CCCO2)cc1O,Williamson_ether_synthesis,Cc1ccc(NC(=O)C2CCCO2)cc1O,O=C1C(Cl)CCN1C,1,Cc1ccc(NC(=O)C2CCCO2)cc1OC1CCN(C)C1=O,,,,,,,,,,,Cc1ccc(NC(=O)C2CCCO2)cc1OC1CCN(C)C1=O,ZTDJEGPURPWKAK-UHFFFAOYSA-N,"['Ax0528a', 'Ax0416a']",2,x0528-x0416-merge-1-8,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
37,Amidation,Nc1cc(O)c(C)cc1C,O=C(O)C1CCCO1,,Cc1cc(C)c(NC(=O)C2CCCO2)cc1O,Williamson_ether_synthesis,Cc1cc(C)c(NC(=O)C2CCCO2)cc1O,O=C1C(Cl)CCN1C,1,Cc1cc(C)c(OC2CCN(C)C2=O)cc1NC(=O)C1CCCO1,,,,,,,,,,,Cc1cc(C)c(OC2CCN(C)C2=O)cc1NC(=O)C1CCCO1,WBDILGJJGDRLFR-UHFFFAOYSA-N,"['Ax0528a', 'Ax0416a']",2,x0528-x0416-merge-1-9,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
38,Amidation,Nc1cncc(O)c1,O=C(O)C1CCCO1,,O=C(Nc1cncc(O)c1)C1CCCO1,Williamson_ether_synthesis,O=C(Nc1cncc(O)c1)C1CCCO1,O=C1C(Cl)CCN1C,1,CN1CCC(Oc2cncc(NC(=O)C3CCCO3)c2)C1=O,,,,,,,,,,,CN1CCC(Oc2cncc(NC(=O)C3CCCO3)c2)C1=O,VPAXKPTVSGUXQZ-UHFFFAOYSA-N,"['Ax0528a', 'Ax0416a']",2,x0528-x0416-merge-1-10,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
39,Amidation,Cc1cccc(O)c1N,C(O)(=O)CO[Si](C(C)(C)C)(C)C,,Cc1cccc(O)c1NC(=O)CO[Si](C)(C)C(C)(C)C,TBS_alcohol_deprotection,Cc1cccc(O)c1NC(=O)CO[Si](C)(C)C(C)(C)C,,1,Cc1cccc(O)c1NC(=O)CO,Williamson_ether_synthesis,Cc1cccc(O)c1NC(=O)CO,O=C1C(Cl)CCN1C,1.0,Cc1cccc(OC2CCN(C)C2=O)c1NC(=O)CO,,,,,,Cc1cccc(OC2CCN(C)C2=O)c1NC(=O)CO,HQEKNZNNUTZLAE-UHFFFAOYSA-N,"['Ax0528a', 'Ax0732a']",3,x0528-x0732-merge-1-5,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
40,Amidation,Cc1cc(O)c(N)c(C)n1,C(O)(=O)CO[Si](C(C)(C)C)(C)C,,Cc1cc(O)c(NC(=O)CO[Si](C)(C)C(C)(C)C)c(C)n1,TBS_alcohol_deprotection,Cc1cc(O)c(NC(=O)CO[Si](C)(C)C(C)(C)C)c(C)n1,,1,Cc1cc(O)c(NC(=O)CO)c(C)n1,Williamson_ether_synthesis,Cc1cc(O)c(NC(=O)CO)c(C)n1,O=C1C(Cl)CCN1C,1.0,Cc1cc(OC2CCN(C)C2=O)c(NC(=O)CO)c(C)n1,,,,,,Cc1cc(OC2CCN(C)C2=O)c(NC(=O)CO)c(C)n1,AKSURHUAGQQWHX-UHFFFAOYSA-N,"['Ax0528a', 'Ax0732a']",3,x0528-x0732-merge-1-8,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
41,Amidation,Cc1cnc(N)c(O)c1,O=C(O)CS,,Cc1cnc(NC(=O)CS)c(O)c1,Williamson_ether_synthesis,Cc1cnc(NC(=O)CS)c(O)c1,O=C1C(Cl)CCN1C,1,Cc1cnc(NC(=O)CS)c(OC2CCN(C)C2=O)c1,,,,,,,,,,,Cc1cnc(NC(=O)CS)c(OC2CCN(C)C2=O)c1,NRZOHTQVIPNMMH-UHFFFAOYSA-N,"['Ax0528a', 'Ax0732a']",2,x0528-x0732-merge-2-1,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
42,Amidation,Cc1cccc(O)c1N,O=C(O)CS,,Cc1cccc(O)c1NC(=O)CS,Williamson_ether_synthesis,Cc1cccc(O)c1NC(=O)CS,O=C1C(Cl)CCN1C,1,Cc1cccc(OC2CCN(C)C2=O)c1NC(=O)CS,,,,,,,,,,,Cc1cccc(OC2CCN(C)C2=O)c1NC(=O)CS,PJFFRQDHURSHGM-UHFFFAOYSA-N,"['Ax0528a', 'Ax0732a']",2,x0528-x0732-merge-2-5,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
43,Amidation,Cc1cc(O)c(N)c(C)c1,O=C(O)CS,,Cc1cc(C)c(NC(=O)CS)c(O)c1,Williamson_ether_synthesis,Cc1cc(C)c(NC(=O)CS)c(O)c1,O=C1C(Cl)CCN1C,1,Cc1cc(C)c(NC(=O)CS)c(OC2CCN(C)C2=O)c1,,,,,,,,,,,Cc1cc(C)c(NC(=O)CS)c(OC2CCN(C)C2=O)c1,VUFZUHMIPLXWGK-UHFFFAOYSA-N,"['Ax0528a', 'Ax0732a']",2,x0528-x0732-merge-2-6,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
44,Amidation,Cc1cc(O)c(N)c(C)n1,O=C(O)CS,,Cc1cc(O)c(NC(=O)CS)c(C)n1,Williamson_ether_synthesis,Cc1cc(O)c(NC(=O)CS)c(C)n1,O=C1C(Cl)CCN1C,1,Cc1cc(OC2CCN(C)C2=O)c(NC(=O)CS)c(C)n1,,,,,,,,,,,Cc1cc(OC2CCN(C)C2=O)c(NC(=O)CS)c(C)n1,XYKYGBPLRZPZMB-UHFFFAOYSA-N,"['Ax0528a', 'Ax0732a']",2,x0528-x0732-merge-2-8,A71EV2A-x0528_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
45,Amidation,Oc1cccc(N)c1NC(=O)OC(C)(C)C,CC(=O)O,,CC(=O)Nc1cccc(O)c1NC(=O)OC(C)(C)C,N-Boc_deprotection,CC(=O)Nc1cccc(O)c1NC(=O)OC(C)(C)C,,1,CC(=O)Nc1cccc(O)c1N,Amidation,CC(=O)Nc1cccc(O)c1N,O=C(O)CS,1.0,CC(=O)Nc1cccc(O)c1NC(=O)CS,,,,,,CC(=O)Nc1cccc(O)c1NC(=O)CS,FHQLHGVEQIMYTG-UHFFFAOYSA-N,"['Ax0732a', 'Ax0884a']",3,x0884-x0732-x0922-merge-2-1,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
46,Amidation,Nc1cccc(O)c1,C(O)(=O)CO[Si](C(C)(C)C)(C)C,,CC(C)(C)[Si](C)(C)OCC(=O)Nc1cccc(O)c1,TBS_alcohol_deprotection,CC(C)(C)[Si](C)(C)OCC(=O)Nc1cccc(O)c1,,1,O=C(CO)Nc1cccc(O)c1,Williamson_ether_synthesis,O=C(CO)Nc1cccc(O)c1,CN(C)C(=O)CCl,1.0,CN(C)C(=O)COCC(=O)Nc1cccc(O)c1,,,,,,CN(C)C(=O)COCC(=O)Nc1cccc(O)c1,AVXQRKTXSXBNPP-UHFFFAOYSA-N,"['Ax0732a', 'Ax0922a']",3,x0922-x0732-merge-1-4,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
47,Amidation,Fc1ccc(O)cc1N,C(O)(=O)CO[Si](C(C)(C)C)(C)C,,CC(C)(C)[Si](C)(C)OCC(=O)Nc1cc(O)ccc1F,TBS_alcohol_deprotection,CC(C)(C)[Si](C)(C)OCC(=O)Nc1cc(O)ccc1F,,1,O=C(CO)Nc1cc(O)ccc1F,Williamson_ether_synthesis,O=C(CO)Nc1cc(O)ccc1F,CN(C)C(=O)CCl,1.0,CN(C)C(=O)COCC(=O)Nc1cc(O)ccc1F,,,,,,CN(C)C(=O)COCC(=O)Nc1cc(O)ccc1F,BTQQVRBHNACNKU-UHFFFAOYSA-N,"['Ax0732a', 'Ax0922a']",3,x0922-x0732-merge-1-7,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
48,Amidation,Nc1cc(O)c(C)cc1,C(O)(=O)CO[Si](C(C)(C)C)(C)C,,Cc1ccc(NC(=O)CO[Si](C)(C)C(C)(C)C)cc1O,TBS_alcohol_deprotection,Cc1ccc(NC(=O)CO[Si](C)(C)C(C)(C)C)cc1O,,1,Cc1ccc(NC(=O)CO)cc1O,Williamson_ether_synthesis,Cc1ccc(NC(=O)CO)cc1O,CN(C)C(=O)CCl,1.0,Cc1ccc(NC(=O)COCC(=O)N(C)C)cc1O,,,,,,Cc1ccc(NC(=O)COCC(=O)N(C)C)cc1O,JSUPXYZROWADPA-UHFFFAOYSA-N,"['Ax0732a', 'Ax0922a']",3,x0922-x0732-merge-1-8,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
49,Amidation,Nc1cc(O)c(C)cc1C,C(O)(=O)CO[Si](C(C)(C)C)(C)C,,Cc1cc(C)c(NC(=O)CO[Si](C)(C)C(C)(C)C)cc1O,TBS_alcohol_deprotection,Cc1cc(C)c(NC(=O)CO[Si](C)(C)C(C)(C)C)cc1O,,1,Cc1cc(C)c(NC(=O)CO)cc1O,Williamson_ether_synthesis,Cc1cc(C)c(NC(=O)CO)cc1O,CN(C)C(=O)CCl,1.0,Cc1cc(C)c(NC(=O)COCC(=O)N(C)C)cc1O,,,,,,Cc1cc(C)c(NC(=O)COCC(=O)N(C)C)cc1O,YXOSKKANWJIJOY-UHFFFAOYSA-N,"['Ax0732a', 'Ax0922a']",3,x0922-x0732-merge-1-9,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
50,Amidation,Nc1cccc(O)c1,O=C(O)CS,,O=C(CS)Nc1cccc(O)c1,Williamson_ether_synthesis,O=C(CS)Nc1cccc(O)c1,CN(C)C(=O)CCl,1,CN(C)C(=O)COc1cccc(NC(=O)CS)c1,,,,,,,,,,,CN(C)C(=O)COc1cccc(NC(=O)CS)c1,LCSKLVVSOFHOOO-UHFFFAOYSA-N,"['Ax0732a', 'Ax0922a']",2,x0922-x0732-merge-2-4,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
51,Amidation,Fc1ccc(O)cc1N,O=C(O)CS,,O=C(CS)Nc1cc(O)ccc1F,Williamson_ether_synthesis,O=C(CS)Nc1cc(O)ccc1F,CN(C)C(=O)CCl,1,CN(C)C(=O)COc1ccc(F)c(NC(=O)CS)c1,,,,,,,,,,,CN(C)C(=O)COc1ccc(F)c(NC(=O)CS)c1,BAOZEGOGVWZOIX-UHFFFAOYSA-N,"['Ax0732a', 'Ax0922a']",2,x0922-x0732-merge-2-7,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
52,Amidation,Nc1cc(O)c(C)cc1C,O=C(O)CS,,Cc1cc(C)c(NC(=O)CS)cc1O,Williamson_ether_synthesis,Cc1cc(C)c(NC(=O)CS)cc1O,CN(C)C(=O)CCl,1,Cc1cc(C)c(OCC(=O)N(C)C)cc1NC(=O)CS,,,,,,,,,,,Cc1cc(C)c(OCC(=O)N(C)C)cc1NC(=O)CS,RWYKVNCVGBRENI-UHFFFAOYSA-N,"['Ax0732a', 'Ax0922a']",2,x0922-x0732-merge-2-9,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
53,Amidation,Nc1cncc(O)c1,O=C(O)CS,,O=C(CS)Nc1cncc(O)c1,Williamson_ether_synthesis,O=C(CS)Nc1cncc(O)c1,CN(C)C(=O)CCl,1,CN(C)C(=O)COc1cncc(NC(=O)CS)c1,,,,,,,,,,,CN(C)C(=O)COc1cncc(NC(=O)CS)c1,ZFGIZJRJYCRRHS-UHFFFAOYSA-N,"['Ax0732a', 'Ax0922a']",2,x0922-x0732-merge-2-10,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
54,Williamson_ether_synthesis,C[Si](C)(Oc1cc(O)ccc1F)C(C)(C)C,O=C(CCl)N1CCOCC1,,CC(C)(C)[Si](C)(C)Oc1cc(OCC(=O)N2CCOCC2)ccc1F,TBS_alcohol_deprotection,CC(C)(C)[Si](C)(C)Oc1cc(OCC(=O)N2CCOCC2)ccc1F,,1,O=C(COc1ccc(F)c(O)c1)N1CCOCC1,Williamson_ether_synthesis,O=C(COc1ccc(F)c(O)c1)N1CCOCC1,CN(C)C(=O)CCl,1.0,CN(C)C(=O)COc1cc(OCC(=O)N2CCOCC2)ccc1F,,,,,,CN(C)C(=O)COc1cc(OCC(=O)N2CCOCC2)ccc1F,CYSUOTMKUDBMFZ-UHFFFAOYSA-N,"['Ax0739a', 'Ax0922a']",3,x0922-x0739-merge-2-1,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
55,Williamson_ether_synthesis,CC(C)(C)[Si](C)(C)Oc1cccc(O)c1,O=C(CCl)N1CCOCC1,,CC(C)(C)[Si](C)(C)Oc1cccc(OCC(=O)N2CCOCC2)c1,TBS_alcohol_deprotection,CC(C)(C)[Si](C)(C)Oc1cccc(OCC(=O)N2CCOCC2)c1,,1,O=C(COc1cccc(O)c1)N1CCOCC1,Williamson_ether_synthesis,O=C(COc1cccc(O)c1)N1CCOCC1,CN(C)C(=O)CCl,1.0,CN(C)C(=O)COc1cccc(OCC(=O)N2CCOCC2)c1,,,,,,CN(C)C(=O)COc1cccc(OCC(=O)N2CCOCC2)c1,LTURCBNOKGSFTI-UHFFFAOYSA-N,"['Ax0739a', 'Ax0922a']",3,x0922-x0739-merge-2-2,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
56,Williamson_ether_synthesis,Cc1cc(OCc2ccccc2)cc(O)c1,O=C(CCl)N1CCOCC1,,Cc1cc(OCC(=O)N2CCOCC2)cc(OCc2ccccc2)c1,Benzyl_alcohol_deprotection,Cc1cc(OCC(=O)N2CCOCC2)cc(OCc2ccccc2)c1,,1,Cc1cc(O)cc(OCC(=O)N2CCOCC2)c1,Williamson_ether_synthesis,Cc1cc(O)cc(OCC(=O)N2CCOCC2)c1,CN(C)C(=O)CCl,1.0,Cc1cc(OCC(=O)N(C)C)cc(OCC(=O)N2CCOCC2)c1,,,,,,Cc1cc(OCC(=O)N(C)C)cc(OCC(=O)N2CCOCC2)c1,WFKUTQSRODQJFO-UHFFFAOYSA-N,"['Ax0739a', 'Ax0922a']",3,x0922-x0739-merge-2-3,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
57,Williamson_ether_synthesis,Oc1cc(OCc2ccccc2)ccn1,O=C(CCl)N1CCOCC1,,O=C(COc1cc(OCc2ccccc2)ccn1)N1CCOCC1,Benzyl_alcohol_deprotection,O=C(COc1cc(OCc2ccccc2)ccn1)N1CCOCC1,,1,O=C(COc1cc(O)ccn1)N1CCOCC1,Williamson_ether_synthesis,O=C(COc1cc(O)ccn1)N1CCOCC1,CN(C)C(=O)CCl,1.0,CN(C)C(=O)COc1ccnc(OCC(=O)N2CCOCC2)c1,,,,,,CN(C)C(=O)COc1ccnc(OCC(=O)N2CCOCC2)c1,MFVVKWWGPFFRCH-UHFFFAOYSA-N,"['Ax0739a', 'Ax0922a']",3,x0922-x0739-merge-2-4,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
58,Williamson_ether_synthesis,Cc1ccc(OCc2ccccc2)cc1O,O=C(CCl)N1CCOCC1,,Cc1ccc(OCc2ccccc2)cc1OCC(=O)N1CCOCC1,Benzyl_alcohol_deprotection,Cc1ccc(OCc2ccccc2)cc1OCC(=O)N1CCOCC1,,1,Cc1ccc(O)cc1OCC(=O)N1CCOCC1,Williamson_ether_synthesis,Cc1ccc(O)cc1OCC(=O)N1CCOCC1,CN(C)C(=O)CCl,1.0,Cc1ccc(OCC(=O)N(C)C)cc1OCC(=O)N1CCOCC1,,,,,,Cc1ccc(OCC(=O)N(C)C)cc1OCC(=O)N1CCOCC1,HWHRLRWYYRBVIM-UHFFFAOYSA-N,"['Ax0739a', 'Ax0922a']",3,x0922-x0739-merge-2-5,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
59,Williamson_ether_synthesis,Oc1cc(OCc2ccccc2)c(C)cc1,O=C(CCl)N1CCOCC1,,Cc1ccc(OCC(=O)N2CCOCC2)cc1OCc1ccccc1,Benzyl_alcohol_deprotection,Cc1ccc(OCC(=O)N2CCOCC2)cc1OCc1ccccc1,,1,Cc1ccc(OCC(=O)N2CCOCC2)cc1O,Williamson_ether_synthesis,Cc1ccc(OCC(=O)N2CCOCC2)cc1O,CN(C)C(=O)CCl,1.0,Cc1ccc(OCC(=O)N2CCOCC2)cc1OCC(=O)N(C)C,,,,,,Cc1ccc(OCC(=O)N2CCOCC2)cc1OCC(=O)N(C)C,ALCJNIPCFITZHL-UHFFFAOYSA-N,"['Ax0739a', 'Ax0922a']",3,x0922-x0739-merge-2-6,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
60,Williamson_ether_synthesis,Oc1cncc(OCc2ccccc2)c1,O=C(CCl)N1CCOCC1,,O=C(COc1cncc(OCc2ccccc2)c1)N1CCOCC1,Benzyl_alcohol_deprotection,O=C(COc1cncc(OCc2ccccc2)c1)N1CCOCC1,,1,O=C(COc1cncc(O)c1)N1CCOCC1,Williamson_ether_synthesis,O=C(COc1cncc(O)c1)N1CCOCC1,CN(C)C(=O)CCl,1.0,CN(C)C(=O)COc1cncc(OCC(=O)N2CCOCC2)c1,,,,,,CN(C)C(=O)COc1cncc(OCC(=O)N2CCOCC2)c1,VQRSSBXPBMCVSS-UHFFFAOYSA-N,"['Ax0739a', 'Ax0922a']",3,x0922-x0739-merge-2-7,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
61,Amidation,Cc1cc(O)cc(N)c1,O=C(O)C1CCCO1,,Cc1cc(O)cc(NC(=O)C2CCCO2)c1,Williamson_ether_synthesis,Cc1cc(O)cc(NC(=O)C2CCCO2)c1,CN(C)C(=O)CCl,1,Cc1cc(NC(=O)C2CCCO2)cc(OCC(=O)N(C)C)c1,,,,,,,,,,,Cc1cc(NC(=O)C2CCCO2)cc(OCC(=O)N(C)C)c1,PQHLNDLJASDWNV-UHFFFAOYSA-N,"['Ax0416a', 'Ax0922a']",2,x0922-x0416-merge-1-1,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
62,Amidation,Nc1cc(O)c(C)cc1,O=C(O)C1CCCO1,,Cc1ccc(NC(=O)C2CCCO2)cc1O,Williamson_ether_synthesis,Cc1ccc(NC(=O)C2CCCO2)cc1O,CN(C)C(=O)CCl,1,Cc1ccc(NC(=O)C2CCCO2)cc1OCC(=O)N(C)C,,,,,,,,,,,Cc1ccc(NC(=O)C2CCCO2)cc1OCC(=O)N(C)C,CGGHTLUHFDFCAS-UHFFFAOYSA-N,"['Ax0416a', 'Ax0922a']",2,x0922-x0416-merge-1-8,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
63,Amidation,Nc1cc(O)c(C)cc1C,O=C(O)C1CCCO1,,Cc1cc(C)c(NC(=O)C2CCCO2)cc1O,Williamson_ether_synthesis,Cc1cc(C)c(NC(=O)C2CCCO2)cc1O,CN(C)C(=O)CCl,1,Cc1cc(C)c(OCC(=O)N(C)C)cc1NC(=O)C1CCCO1,,,,,,,,,,,Cc1cc(C)c(OCC(=O)N(C)C)cc1NC(=O)C1CCCO1,SRDGULMUCFCNKM-UHFFFAOYSA-N,"['Ax0416a', 'Ax0922a']",2,x0922-x0416-merge-1-9,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
64,Amidation,Nc1cncc(O)c1,O=C(O)C1CCCO1,,O=C(Nc1cncc(O)c1)C1CCCO1,Williamson_ether_synthesis,O=C(Nc1cncc(O)c1)C1CCCO1,CN(C)C(=O)CCl,1,CN(C)C(=O)COc1cncc(NC(=O)C2CCCO2)c1,,,,,,,,,,,CN(C)C(=O)COc1cncc(NC(=O)C2CCCO2)c1,JOQRKFCIIQYZLX-UHFFFAOYSA-N,"['Ax0416a', 'Ax0922a']",2,x0922-x0416-merge-1-10,A71EV2A-x0922_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0416_A_147_A71EV2A-x0501+A+152+1
65,Amidation,CC(C)(C)OC(=O)Nc1ccccc1(N),O=C(O)CO,,CC(C)(C)OC(=O)Nc1ccccc1(NC(=O)CO),N-Boc_deprotection,CC(C)(C)OC(=O)Nc1ccccc1(NC(=O)CO),,1,c1cccc(NC(=O)CO)c1(N),Amidation,c1cccc(NC(=O)CO)c1(N),N#CCC(=O)O,1.0,N#CCC(=O)Nc1ccccc1(NC(=O)CO),,,,,,N#CCC(=O)Nc1ccccc1(NC(=O)CO),LISNPGIFHAQIEO-UHFFFAOYSA-N,"['Ax0310a', 'Ax0732a']",3,x0310-x0732-merge-3-1,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
66,Amidation,CC(C)(C)OC(=O)Nc1ccc(C)cc1(N),O=C(O)CO,,CC(C)(C)OC(=O)Nc1ccc(C)cc1(NC(=O)CO),N-Boc_deprotection,CC(C)(C)OC(=O)Nc1ccc(C)cc1(NC(=O)CO),,1,c1cc(C)cc(NC(=O)CO)c1(N),Amidation,c1cc(C)cc(NC(=O)CO)c1(N),N#CCC(=O)O,1.0,Cc1cc(NC(=O)CO)c(NC(=O)CC#N)cc1,,,,,,Cc1cc(NC(=O)CO)c(NC(=O)CC#N)cc1,HZNFTESFLXXWPL-UHFFFAOYSA-N,"['Ax0310a', 'Ax0732a']",3,x0310-x0732-merge-3-2,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
67,Amidation,CC(C)(C)OC(=O)Nc1ccncc1(N),O=C(O)CO,,CC(C)(C)OC(=O)Nc1ccncc1(NC(=O)CO),N-Boc_deprotection,CC(C)(C)OC(=O)Nc1ccncc1(NC(=O)CO),,1,c1cncc(NC(=O)CO)c1(N),Amidation,c1cncc(NC(=O)CO)c1(N),N#CCC(=O)O,1.0,N#CCC(=O)Nc1ccncc1(NC(=O)CO),,,,,,N#CCC(=O)Nc1ccncc1(NC(=O)CO),GCAQUNSOGCAEFO-UHFFFAOYSA-N,"['Ax0310a', 'Ax0732a']",3,x0310-x0732-merge-3-3,A71EV2A-x0310_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
