,1_reaction,1_r1_smiles,1_r2_smiles,1_r_previous_product,1_product_smiles,2_reaction,2_r1_smiles,2_r2_smiles,2_r_previous_product,2_product_smiles,3_reaction,3_r1_smiles,3_r2_smiles,3_r_previous_product,3_product_smiles,4_reaction,4_r1_smiles,4_r2_smiles,4_r_previous_product,4_product_smiles,base_compound_smiles,name,frag_small,num_steps,compound_set,hits
21,Amidation,CC(C)(C)OC(=O)Nc1ccccc1N,CC(=O)O,,CC(=O)Nc1ccccc1NC(=O)OC(C)(C)C,N-Boc_deprotection,CC(=O)Nc1ccccc1NC(=O)OC(C)(C)C,,1,CC(=O)Nc1ccccc1N,Amidation,CC(=O)Nc1ccccc1N,O=C(O)CO,1.0,CC(=O)Nc1ccccc1NC(=O)CO,,,,,,CC(=O)Nc1ccccc1NC(=O)CO,XIPUDWAUXVXPNO-UHFFFAOYSA-N,"['Ax0732a', 'Ax0884a']",3,x0884-x0732-merge-2-2,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
22,Amidation,CC(C)(C)OC(=O)Nc1c(F)cccc1N,CC(=O)O,,CC(=O)Nc1cccc(F)c1NC(=O)OC(C)(C)C,N-Boc_deprotection,CC(=O)Nc1cccc(F)c1NC(=O)OC(C)(C)C,,1,CC(=O)Nc1cccc(F)c1N,Amidation,CC(=O)Nc1cccc(F)c1N,O=C(O)CO,1.0,CC(=O)Nc1cccc(F)c1NC(=O)CO,,,,,,CC(=O)Nc1cccc(F)c1NC(=O)CO,VKJZGMPIQHJVLA-UHFFFAOYSA-N,"['Ax0732a', 'Ax0884a']",3,x0884-x0732-merge-2-6,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
23,Amidation,Oc1cccc(N)c1NC(=O)OC(C)(C)C,CC(=O)O,,CC(=O)Nc1cccc(O)c1NC(=O)OC(C)(C)C,N-Boc_deprotection,CC(=O)Nc1cccc(O)c1NC(=O)OC(C)(C)C,,1,CC(=O)Nc1cccc(O)c1N,Amidation,CC(=O)Nc1cccc(O)c1N,O=C(O)CO,1.0,CC(=O)Nc1cccc(O)c1NC(=O)CO,Williamson_ether_synthesis,CC(=O)Nc1cccc(O)c1NC(=O)CO,CN(C)C(=O)CCl,1.0,CC(=O)Nc1cccc(OCC(=O)N(C)C)c1NC(=O)CO,CC(=O)Nc1cccc(OCC(=O)N(C)C)c1NC(=O)CO,PNVZAYIBWRTCMN-UHFFFAOYSA-N,"['Ax0732a', 'Ax0884a']",4,x0884-x0732-x0922-merge-1-1,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0732_A_201_A71EV2A-x0501+A+152+1
24,Amidation,Cc1cnc(O)cc1N,CC(=O)O,,CC(=O)Nc1cc(O)ncc1C,Williamson_ether_synthesis,CC(=O)Nc1cc(O)ncc1C,O=C(CCl)N1CCOCC1,1,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ncc1C,,,,,,,,,,,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ncc1C,ZVTXJLVFUAMZRS-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']",2,x0884-x0739-merge-3-2,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
25,Amidation,Cc1cc(O)cc(N)c1,CC(=O)O,,CC(=O)Nc1cc(C)cc(O)c1,Williamson_ether_synthesis,CC(=O)Nc1cc(C)cc(O)c1,O=C(CCl)N1CCOCC1,1,CC(=O)Nc1cc(C)cc(OCC(=O)N2CCOCC2)c1,,,,,,,,,,,CC(=O)Nc1cc(C)cc(OCC(=O)N2CCOCC2)c1,NMLCPEMTBQOHIE-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']",2,x0884-x0739-merge-3-3,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
26,Amidation,Nc1cccc(O)c1,CC(=O)O,,CC(=O)Nc1cccc(O)c1,Williamson_ether_synthesis,CC(=O)Nc1cccc(O)c1,O=C(CCl)N1CCOCC1,1,CC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,,,,,,,,,,,CC(=O)Nc1cccc(OCC(=O)N2CCOCC2)c1,SMTYBWHFSAKKED-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']",2,x0884-x0739-merge-3-4,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
27,Amidation,Cc1ccc(O)cc1N,CC(=O)O,,CC(=O)Nc1cc(O)ccc1C,Williamson_ether_synthesis,CC(=O)Nc1cc(O)ccc1C,O=C(CCl)N1CCOCC1,1,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1C,,,,,,,,,,,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1C,JKENRCTVZAQDOU-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']",2,x0884-x0739-merge-3-5,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
28,Amidation,Fc1ccc(O)cc1N,CC(=O)O,,CC(=O)Nc1cc(O)ccc1F,Williamson_ether_synthesis,CC(=O)Nc1cc(O)ccc1F,O=C(CCl)N1CCOCC1,1,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,,,,,,,,,,,CC(=O)Nc1cc(OCC(=O)N2CCOCC2)ccc1F,WMXYYSIGMVYKFL-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']",2,x0884-x0739-merge-3-7,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
29,Amidation,Nc1cc(O)c(C)cc1,CC(=O)O,,CC(=O)Nc1ccc(C)c(O)c1,Williamson_ether_synthesis,CC(=O)Nc1ccc(C)c(O)c1,O=C(CCl)N1CCOCC1,1,CC(=O)Nc1ccc(C)c(OCC(=O)N2CCOCC2)c1,,,,,,,,,,,CC(=O)Nc1ccc(C)c(OCC(=O)N2CCOCC2)c1,VDDVVUWBLUMWLR-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']",2,x0884-x0739-merge-3-8,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
30,Amidation,Nc1cncc(O)c1,CC(=O)O,,CC(=O)Nc1cncc(O)c1,Williamson_ether_synthesis,CC(=O)Nc1cncc(O)c1,O=C(CCl)N1CCOCC1,1,CC(=O)Nc1cncc(OCC(=O)N2CCOCC2)c1,,,,,,,,,,,CC(=O)Nc1cncc(OCC(=O)N2CCOCC2)c1,ZMNSQVIBTKNQGL-UHFFFAOYSA-N,"['Ax0739a', 'Ax0884a']",2,x0884-x0739-merge-3-10,A71EV2A-x0884_A_147_A71EV2A-x0501+A+152+1 A71EV2A-x0739_A_147_A71EV2A-x0501+A+152+1
