,smiles,reactants,name,r0,r0_found,r1,r1_found,r2,r2_found,r3,r3_found,r4,r4_found,r5,r5_found,r6,r6_found
55,CN(C)C(=O)COc1cccc(OCC(=O)N2CCOCC2)c1,"[('CC(C)(C)[Si](C)(C)Oc1cccc(O)c1', 'O=C(CCl)N1CCOCC1'), 'CC(C)(C)[Si](C)(C)Oc1cccc(OCC(=O)N2CCOCC2)c1', ('O=C(COc1cccc(O)c1)N1CCOCC1', 'CN(C)C(=O)CCl')]",LTURCBNOKGSFTI-UHFFFAOYSA-N,'CCCC[Si]CCOc1ccccOc1',, 'O=CCClN1CCOCC1',, 'CCCC[Si]CCOc1ccccOCC=ON2CCOCC2c1',, 'O=CCOc1ccccOc1N1CCOCC1',, 'CNCC=OCCl',,,,,
56,Cc1cc(OCC(=O)N(C)C)cc(OCC(=O)N2CCOCC2)c1,"[('Cc1cc(OCc2ccccc2)cc(O)c1', 'O=C(CCl)N1CCOCC1'), 'Cc1cc(OCC(=O)N2CCOCC2)cc(OCc2ccccc2)c1', ('Cc1cc(O)cc(OCC(=O)N2CCOCC2)c1', 'CN(C)C(=O)CCl')]",WFKUTQSRODQJFO-UHFFFAOYSA-N,'Cc1ccOCc2ccccc2ccOc1',, 'O=CCClN1CCOCC1',, 'Cc1ccOCC=ON2CCOCC2ccOCc2ccccc2c1',, 'Cc1ccOccOCC=ON2CCOCC2c1',, 'CNCC=OCCl',,,,,
57,CN(C)C(=O)COc1ccnc(OCC(=O)N2CCOCC2)c1,"[('Oc1cc(OCc2ccccc2)ccn1', 'O=C(CCl)N1CCOCC1'), 'O=C(COc1cc(OCc2ccccc2)ccn1)N1CCOCC1', ('O=C(COc1cc(O)ccn1)N1CCOCC1', 'CN(C)C(=O)CCl')]",MFVVKWWGPFFRCH-UHFFFAOYSA-N,'Oc1ccOCc2ccccc2ccn1',, 'O=CCClN1CCOCC1',, 'O=CCOc1ccOCc2ccccc2ccn1N1CCOCC1',, 'O=CCOc1ccOccn1N1CCOCC1',, 'CNCC=OCCl',,,,,
58,Cc1ccc(OCC(=O)N(C)C)cc1OCC(=O)N1CCOCC1,"[('Cc1ccc(OCc2ccccc2)cc1O', 'O=C(CCl)N1CCOCC1'), 'Cc1ccc(OCc2ccccc2)cc1OCC(=O)N1CCOCC1', ('Cc1ccc(O)cc1OCC(=O)N1CCOCC1', 'CN(C)C(=O)CCl')]",HWHRLRWYYRBVIM-UHFFFAOYSA-N,'Cc1cccOCc2ccccc2cc1O',, 'O=CCClN1CCOCC1',, 'Cc1cccOCc2ccccc2cc1OCC=ON1CCOCC1',, 'Cc1cccOcc1OCC=ON1CCOCC1',, 'CNCC=OCCl',,,,,
59,Cc1ccc(OCC(=O)N2CCOCC2)cc1OCC(=O)N(C)C,"[('Oc1cc(OCc2ccccc2)c(C)cc1', 'O=C(CCl)N1CCOCC1'), 'Cc1ccc(OCC(=O)N2CCOCC2)cc1OCc1ccccc1', ('Cc1ccc(OCC(=O)N2CCOCC2)cc1O', 'CN(C)C(=O)CCl')]",ALCJNIPCFITZHL-UHFFFAOYSA-N,'Oc1ccOCc2ccccc2cCcc1',, 'O=CCClN1CCOCC1',, 'Cc1cccOCC=ON2CCOCC2cc1OCc1ccccc1',, 'Cc1cccOCC=ON2CCOCC2cc1O',, 'CNCC=OCCl',,,,,
60,CN(C)C(=O)COc1cncc(OCC(=O)N2CCOCC2)c1,"[('Oc1cncc(OCc2ccccc2)c1', 'O=C(CCl)N1CCOCC1'), 'O=C(COc1cncc(OCc2ccccc2)c1)N1CCOCC1', ('O=C(COc1cncc(O)c1)N1CCOCC1', 'CN(C)C(=O)CCl')]",VQRSSBXPBMCVSS-UHFFFAOYSA-N,'Oc1cnccOCc2ccccc2c1',, 'O=CCClN1CCOCC1',, 'O=CCOc1cnccOCc2ccccc2c1N1CCOCC1',, 'O=CCOc1cnccOc1N1CCOCC1',, 'CNCC=OCCl',,,,,
61,Cc1cc(NC(=O)C2CCCO2)cc(OCC(=O)N(C)C)c1,"[('Cc1cc(O)cc(N)c1', 'O=C(O)C1CCCO1'), ('Cc1cc(O)cc(NC(=O)C2CCCO2)c1', 'CN(C)C(=O)CCl')]",PQHLNDLJASDWNV-UHFFFAOYSA-N,'Cc1ccOccNc1',, 'O=COC1CCCO1',, 'Cc1ccOccNC=OC2CCCO2c1',, 'CNCC=OCCl',,,,,,,
62,Cc1ccc(NC(=O)C2CCCO2)cc1OCC(=O)N(C)C,"[('Nc1cc(O)c(C)cc1', 'O=C(O)C1CCCO1'), ('Cc1ccc(NC(=O)C2CCCO2)cc1O', 'CN(C)C(=O)CCl')]",CGGHTLUHFDFCAS-UHFFFAOYSA-N,'Nc1ccOcCcc1',, 'O=COC1CCCO1',, 'Cc1cccNC=OC2CCCO2cc1O',, 'CNCC=OCCl',,,,,,,
63,Cc1cc(C)c(OCC(=O)N(C)C)cc1NC(=O)C1CCCO1,"[('Nc1cc(O)c(C)cc1C', 'O=C(O)C1CCCO1'), ('Cc1cc(C)c(NC(=O)C2CCCO2)cc1O', 'CN(C)C(=O)CCl')]",SRDGULMUCFCNKM-UHFFFAOYSA-N,'Nc1ccOcCcc1C',, 'O=COC1CCCO1',, 'Cc1ccCcNC=OC2CCCO2cc1O',, 'CNCC=OCCl',,,,,,,
64,CN(C)C(=O)COc1cncc(NC(=O)C2CCCO2)c1,"[('Nc1cncc(O)c1', 'O=C(O)C1CCCO1'), ('O=C(Nc1cncc(O)c1)C1CCCO1', 'CN(C)C(=O)CCl')]",JOQRKFCIIQYZLX-UHFFFAOYSA-N,'Nc1cnccOc1',, 'O=COC1CCCO1',, 'O=CNc1cnccOc1C1CCCO1',, 'CNCC=OCCl',,,,,,,
65,N#CCC(=O)Nc1ccccc1(NC(=O)CO),"[('CC(C)(C)OC(=O)Nc1ccccc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1ccccc1(NC(=O)CO)', ('c1cccc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]",LISNPGIFHAQIEO-UHFFFAOYSA-N,'CCCCOC=ONc1ccccc1N',, 'O=COCO',, 'CCCCOC=ONc1ccccc1NC=OCO',, 'c1ccccNC=OCOc1N',, 'N#CCC=OO',,,,,
66,Cc1cc(NC(=O)CO)c(NC(=O)CC#N)cc1,"[('CC(C)(C)OC(=O)Nc1ccc(C)cc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1ccc(C)cc1(NC(=O)CO)', ('c1cc(C)cc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]",HZNFTESFLXXWPL-UHFFFAOYSA-N,'CCCCOC=ONc1cccCcc1N',, 'O=COCO',, 'CCCCOC=ONc1cccCcc1NC=OCO',, 'c1ccCccNC=OCOc1N',, 'N#CCC=OO',,,,,
67,N#CCC(=O)Nc1ccncc1(NC(=O)CO),"[('CC(C)(C)OC(=O)Nc1ccncc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1ccncc1(NC(=O)CO)', ('c1cncc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]",GCAQUNSOGCAEFO-UHFFFAOYSA-N,'CCCCOC=ONc1ccncc1N',, 'O=COCO',, 'CCCCOC=ONc1ccncc1NC=OCO',, 'c1cnccNC=OCOc1N',, 'N#CCC=OO',,,,,
68,c1cc(NC(=O)CO)c(NC(=O)CC#N)cc1F,"[('CC(C)(C)OC(=O)Nc1cc(F)ccc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1cc(F)ccc1(NC(=O)CO)', ('c1c(F)ccc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]",VXLLSVROUGTXAB-UHFFFAOYSA-N,'CCCCOC=ONc1ccFccc1N',, 'O=COCO',, 'CCCCOC=ONc1ccFccc1NC=OCO',, 'c1cFcccNC=OCOc1N',, 'N#CCC=OO',,,,,
69,c1cc(NC(=O)CO)c(NC(=O)CC#N)cc1C,"[('CC(C)(C)OC(=O)Nc1cc(C)ccc1(N)', 'O=C(O)CO'), 'CC(C)(C)OC(=O)Nc1cc(C)ccc1(NC(=O)CO)', ('c1c(C)ccc(NC(=O)CO)c1(N)', 'N#CCC(=O)O')]",YIPNWJATCFTMPP-UHFFFAOYSA-N,'CCCCOC=ONc1ccCccc1N',, 'O=COCO',, 'CCCCOC=ONc1ccCccc1NC=OCO',, 'c1cCcccNC=OCOc1N',, 'N#CCC=OO',,,,,
